Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
26-Oct-21,15:00,"1,071.09",0.85,0.08,"1,070.24","1,064.13","1,077.00","1,884,366"
26-Oct-21,14:55,"1,070.24",13.27,1.26,"1,057.42","1,056.94","1,073.54","2,074,687"
26-Oct-21,14:50,"1,056.97",11.83,1.13,"1,045.30","1,045.28","1,063.26","2,020,278"
26-Oct-21,14:45,"1,045.14",9.15,0.88,"1,035.98","1,033.61","1,047.10","1,352,485"
26-Oct-21,14:40,"1,035.99",-1.78,-0.17,"1,037.56","1,021.56","1,037.80","1,610,717"
26-Oct-21,14:35,"1,037.77",12.91,1.26,"1,024.69","1,023.00","1,049.00","2,771,749"
25-Oct-21,21:05,"1,024.86",0,0,"1,024.86","1,024.76","1,024.86","637,859"
25-Oct-21,21:00,"1,024.86",-2.52,-0.24,"1,027.45","1,019.13","1,028.00","1,435,774"
25-Oct-21,20:55,"1,027.38",-2.65,-0.26,"1,030.03","1,026.11","1,030.19","679,681"
25-Oct-21,20:50,"1,030.03",3.95,0.38,"1,025.83","1,025.00","1,030.69","789,326"
25-Oct-21,20:45,"1,026.08",-0.38,-0.04,"1,026.25","1,024.99","1,029.00","582,085"
25-Oct-21,20:40,"1,026.46",2.96,0.29,"1,023.43","1,023.31","1,027.00","435,421"
25-Oct-21,20:35,"1,023.50",-3.11,-0.3,"1,026.86","1,023.00","1,028.19","510,497"
25-Oct-21,20:30,"1,026.61",4.05,0.4,"1,022.46","1,022.31","1,026.80","392,583"
25-Oct-21,20:25,"1,022.56",-3.66,-0.36,"1,026.26","1,021.02","1,028.27","627,382"
25-Oct-21,20:20,"1,026.21",8.09,0.79,"1,018.33","1,017.05","1,026.47","854,443"
25-Oct-21,20:15,"1,018.12",1.27,0.12,"1,016.62","1,014.51","1,019.68","450,744"
25-Oct-21,20:10,"1,016.85",0.26,0.03,"1,016.58","1,013.78","1,021.50","544,887"
25-Oct-21,20:05,"1,016.59",-4.42,-0.43,"1,021.01","1,014.57","1,022.85","669,284"
25-Oct-21,20:00,"1,021.01",4.92,0.48,"1,016.09","1,014.11","1,023.00","836,066"
25-Oct-21,19:55,"1,016.09",-5.53,-0.54,"1,021.32","1,015.20","1,021.60","656,241"
25-Oct-21,19:50,"1,021.62",3.97,0.39,"1,017.73","1,014.48","1,022.19","1,168,745"
25-Oct-21,19:45,"1,017.65",-8.05,-0.78,"1,025.72","1,016.19","1,028.61","1,667,139"
25-Oct-21,19:40,"1,025.70",-10.85,-1.05,"1,036.96","1,025.70","1,045.02","2,337,210"
25-Oct-21,19:35,"1,036.55",12.33,1.2,"1,024.18","1,023.01","1,037.65","1,790,930"
25-Oct-21,19:30,"1,024.22",9.17,0.9,"1,014.99","1,013.97","1,025.00","1,277,646"
25-Oct-21,19:25,"1,015.05",3.47,0.34,"1,011.55","1,009.60","1,017.38","954,980"
25-Oct-21,19:20,"1,011.58",3.81,0.38,"1,008.12","1,007.74","1,015.50","1,257,788"
25-Oct-21,19:15,"1,007.77",6.1,0.61,"1,001.81","1,001.75","1,008.62","1,281,507"
25-Oct-21,19:10,"1,001.68",4.48,0.45,997.12,995.75,"1,002.23","1,605,506"
25-Oct-21,19:05,997.19,1.03,0.1,995.96,995.04,997.75,"335,233"
25-Oct-21,19:00,996.16,2.25,0.23,993.84,993.55,996.69,"303,411"
25-Oct-21,18:55,993.91,-0.6,-0.06,994.57,992.59,994.89,"174,263"
25-Oct-21,18:50,994.51,-0.37,-0.04,994.93,992.29,995.1,"212,426"
25-Oct-21,18:45,994.88,-0.43,-0.04,995.34,994,995.54,"175,483"
25-Oct-21,18:40,995.31,0.26,0.03,995.11,993.11,997.7,"411,999"
25-Oct-21,18:35,995.05,0.91,0.09,994.02,993.67,996.9,"330,724"
25-Oct-21,18:30,994.14,0.98,0.1,992.85,992.8,996.58,"307,286"
25-Oct-21,18:25,993.16,-3.13,-0.31,996.2,992.43,997,"522,789"
25-Oct-21,18:20,996.3,6.79,0.69,989.38,988.42,996.5,"584,720"
25-Oct-21,18:15,989.5,0.83,0.08,988.6,987.17,990.2,"349,265"
25-Oct-21,18:10,988.67,-1.13,-0.11,989.8,988.5,992.52,"431,082"
25-Oct-21,18:05,989.8,-0.45,-0.05,990.22,989.32,993,"380,127"
25-Oct-21,18:00,990.25,-1.07,-0.11,991.32,988.13,993.36,"475,045"
25-Oct-21,17:55,991.32,3.3,0.33,988.15,988.15,993.8,"592,636"
25-Oct-21,17:50,988.02,-6.04,-0.61,994.15,987.66,994.51,"865,386"
25-Oct-21,17:45,994.06,-4.22,-0.42,998.11,993.83,998.49,"669,405"
25-Oct-21,17:40,998.28,5.57,0.56,992.56,991.8,998.74,"1,052,162"
25-Oct-21,17:35,992.71,1.88,0.19,990.78,990.78,996.57,"914,620"
25-Oct-21,17:30,990.83,4.16,0.42,986.63,986.39,995.08,"1,336,053"
25-Oct-21,17:25,986.67,7.3,0.75,979.64,977.36,986.76,"998,728"
25-Oct-21,17:20,979.37,0.46,0.05,978.99,977.55,979.99,"442,040"
25-Oct-21,17:15,978.91,3.69,0.38,975.4,975.21,979.48,"524,166"
25-Oct-21,17:10,975.22,3.02,0.31,972.15,971.83,975.4,"338,234"
25-Oct-21,17:05,972.2,-2.47,-0.25,974.66,971.57,977.17,"409,088"
25-Oct-21,17:00,974.67,2.16,0.22,972.48,972.16,975.34,"385,719"
25-Oct-21,16:55,972.51,-0.33,-0.03,972.93,971.86,973.74,"216,735"
25-Oct-21,16:50,972.84,1,0.1,971.47,971.11,973.59,"367,726"
25-Oct-21,16:45,971.84,2.08,0.21,969.89,969.03,972.31,"485,699"
25-Oct-21,16:40,969.76,8.26,0.86,961.41,961.31,970.9,"670,612"
25-Oct-21,16:35,961.5,-4.5,-0.47,966.05,960.23,966.44,"418,914"
25-Oct-21,16:30,966,3.69,0.38,962.43,961.55,966.09,"475,293"
25-Oct-21,16:25,962.31,-2.93,-0.3,965.24,962.08,965.54,"523,195"
25-Oct-21,16:20,965.24,-3.5,-0.36,968.76,964.07,969.22,"486,172"
25-Oct-21,16:15,968.74,0.74,0.08,968.07,967.26,971.58,"443,715"
25-Oct-21,16:10,968,-2.3,-0.24,970.24,967.6,971.37,"341,969"
25-Oct-21,16:05,970.3,-2.45,-0.25,972.75,968.15,973.42,"376,415"
25-Oct-21,16:00,972.75,2.61,0.27,970.09,968.68,974,"399,984"
25-Oct-21,15:55,970.14,-3.88,-0.4,974.16,969.7,974.17,"340,517"
25-Oct-21,15:50,974.02,4.76,0.49,969.16,968.81,975.35,"572,347"
25-Oct-21,15:45,969.26,-3.62,-0.37,972.87,967.01,973.02,"759,007"
25-Oct-21,15:40,972.88,-2.19,-0.22,975.03,972.08,977.48,"677,598"
25-Oct-21,15:35,975.07,-0.48,-0.05,975.51,972.36,979.8,"1,085,563"
25-Oct-21,15:30,975.55,3.01,0.31,972.56,970,978.75,"1,346,738"
25-Oct-21,15:25,972.54,11.54,1.2,960.96,960.51,972.96,"1,303,528"
25-Oct-21,15:20,961,2.09,0.22,959,958.44,962.91,"834,332"
25-Oct-21,15:15,958.92,7.98,0.84,951.13,950.21,959.32,"947,291"
25-Oct-21,15:10,950.93,2.9,0.31,948.23,947.69,952.25,"585,638"
25-Oct-21,15:05,948.03,-4.97,-0.52,953,944.2,953,"790,697"
25-Oct-21,15:00,953,3.51,0.37,949.39,948.29,954.23,"739,036"
25-Oct-21,14:55,949.49,0.12,0.01,949.29,944.8,951.65,"1,039,746"
25-Oct-21,14:50,949.37,-8.08,-0.84,957.9,948.81,959.44,"915,014"
25-Oct-21,14:45,957.45,1.2,0.12,956.09,946.03,959.14,"1,656,876"
25-Oct-21,14:40,956.25,-4.34,-0.45,960.71,956.1,970.84,"1,917,393"
25-Oct-21,14:35,960.59,50.91,5.6,950.53,945.7,961.51,"2,572,812"
22-Oct-21,21:05,909.68,0.18,0.02,909.68,909.68,909.68,"675,438"
22-Oct-21,21:00,909.5,-0.3,-0.03,909.73,909.21,910,"696,501"
22-Oct-21,20:55,909.8,1.72,0.19,908.15,907.52,910,"515,219"
22-Oct-21,20:50,908.08,0.26,0.03,907.75,907.12,908.4,"219,349"
22-Oct-21,20:45,907.82,-0.17,-0.02,908,907.28,908.18,"287,775"
22-Oct-21,20:40,907.99,-0.16,-0.02,908.13,907.29,908.19,"286,610"
22-Oct-21,20:35,908.15,2.57,0.28,905.64,905.6,908.34,"306,018"
22-Oct-21,20:30,905.58,0.21,0.02,905.5,905.35,906.48,"168,400"
22-Oct-21,20:25,905.37,-0.25,-0.03,905.53,905.12,906.1,"138,000"
22-Oct-21,20:20,905.62,0.57,0.06,905.12,904.89,905.83,"122,782"
22-Oct-21,20:15,905.05,0.66,0.07,904.35,904.12,905.62,"119,793"
22-Oct-21,20:10,904.39,0.04,0,904.35,904.35,905.22,"119,558"
22-Oct-21,20:05,904.35,-0.57,-0.06,904.85,903.54,906,"207,967"
22-Oct-21,20:00,904.92,0.53,0.06,904.54,904.23,905.5,"111,817"
22-Oct-21,19:55,904.39,-1.35,-0.15,905.83,903.57,905.83,"226,913"
22-Oct-21,19:50,905.74,0.08,0.01,905.67,905.44,906.06,"114,521"
22-Oct-21,19:45,905.66,-1.15,-0.13,906.75,905.22,907.13,"146,738"
22-Oct-21,19:40,906.81,-0.69,-0.08,907.5,906.27,907.58,"125,522"
22-Oct-21,19:35,907.51,0.52,0.06,906.85,906.72,907.63,"121,090"
22-Oct-21,19:30,906.98,0.48,0.05,906.32,906.01,907.1,"120,159"
22-Oct-21,19:25,906.5,-1.95,-0.21,908.39,906.18,908.42,"172,927"
22-Oct-21,19:20,908.45,0.78,0.09,907.78,907.65,908.63,"226,685"
22-Oct-21,19:15,907.67,-0.19,-0.02,907.83,907.55,908.17,"202,961"
22-Oct-21,19:10,907.86,1.78,0.2,906.01,905.99,908.09,"326,388"
22-Oct-21,19:05,906.08,0.43,0.05,905.61,905.29,906.28,"83,629"
22-Oct-21,19:00,905.66,-0.78,-0.09,906.5,905.58,906.75,"123,586"
22-Oct-21,18:55,906.43,0.65,0.07,905.82,905.82,906.58,"97,861"
22-Oct-21,18:50,905.78,0.56,0.06,905.46,905.16,906.64,"154,152"
22-Oct-21,18:45,905.22,-0.8,-0.09,905.88,905.13,906.29,"84,350"
22-Oct-21,18:40,906.02,0.17,0.02,905.94,905.6,906.34,"105,754"
