Local Date,Local Time,Close,Net,%Chg,Open,Low,High,Volume
22-Oct-21,02:40,"50,360.00",30,0.06,"50,320.00","50,320.00","50,420.00","7,200"
22-Oct-21,02:35,"50,330.00",70,0.14,"50,270.00","50,270.00","50,370.00","8,700"
22-Oct-21,02:30,"50,260.00",40,0.08,"50,190.00","50,190.00","50,270.00","5,600"
22-Oct-21,02:25,"50,220.00",-40,-0.08,"50,260.00","50,200.00","50,270.00","4,400"
22-Oct-21,02:20,"50,260.00",-10,-0.02,"50,260.00","50,210.00","50,290.00","5,100"
22-Oct-21,02:15,"50,270.00",10,0.02,"50,260.00","50,250.00","50,330.00","5,200"
22-Oct-21,02:10,"50,260.00",100,0.2,"50,190.00","50,190.00","50,330.00","10,500"
22-Oct-21,02:05,"50,160.00",-90,-0.18,"50,250.00","50,160.00","50,260.00","5,900"
22-Oct-21,02:00,"50,250.00",100,0.2,"50,150.00","50,150.00","50,280.00","7,500"
22-Oct-21,01:55,"50,150.00",10,0.02,"50,150.00","50,060.00","50,150.00","8,200"
22-Oct-21,01:50,"50,140.00",-60,-0.12,"50,200.00","50,090.00","50,200.00","6,200"
22-Oct-21,01:45,"50,200.00",-70,-0.14,"50,270.00","50,170.00","50,270.00","7,200"
22-Oct-21,01:40,"50,270.00",110,0.22,"50,150.00","50,150.00","50,320.00","12,800"
22-Oct-21,01:35,"50,160.00",-40,-0.08,"50,200.00","50,100.00","50,260.00","14,800"
22-Oct-21,01:30,"50,200.00",-60,-0.12,"50,260.00","50,200.00","50,340.00","16,400"
22-Oct-21,01:25,"50,260.00",410,0.82,"49,850.00","49,850.00","50,280.00","26,700"
22-Oct-21,01:20,"49,850.00",0,0,"49,840.00","49,750.00","50,000.00","14,700"
22-Oct-21,01:15,"49,850.00",-90,-0.18,"49,940.00","49,740.00","49,950.00","18,300"
22-Oct-21,01:10,"49,940.00",120,0.24,"49,850.00","49,840.00","50,060.00","20,800"
22-Oct-21,01:05,"49,820.00",-240,-0.48,"49,520.00","49,450.00","50,110.00","102,500"
21-Oct-21,07:05,"50,060.00",-10,-0.02,"50,060.00","50,060.00","50,060.00","58,800"
21-Oct-21,07:00,"50,070.00",40,0.08,"50,040.00","50,030.00","50,090.00","18,400"
21-Oct-21,06:55,"50,030.00",-10,-0.02,"50,040.00","50,020.00","50,060.00","10,700"
21-Oct-21,06:50,"50,040.00",-40,-0.08,"50,090.00","50,030.00","50,110.00","13,500"
21-Oct-21,06:45,"50,080.00",-50,-0.1,"50,120.00","50,070.00","50,130.00","9,300"
21-Oct-21,06:40,"50,130.00",-80,-0.16,"50,210.00","50,120.00","50,220.00","10,900"
21-Oct-21,06:35,"50,210.00",-50,-0.1,"50,260.00","50,210.00","50,260.00","6,500"
